ic_accountid,account_name,account_url,account_addressstreet,account_addresscity,account_addressstate,account_addresszip,account_country,account_continent,account_countrycode,account_continentcode,account_industry,account_subindustry,account_gicscode,account_size,account_linkedin,account_phone,account_revenue,account_employees,account_desc,duns_number,parent_duns,sic_code,naics_code,ultimate_parent,account_fb,account_fbfollowers,account_twitter,abm_code,global_duit,regional_duit,global_dumarketing,regional_dumarketing,country_dumarketing,global_dusales,regional_dusales,country_dusales,global_duengg,regional_duengg,country_duengg,global_dufinance,regional_dufinance,country_dufinance,global_duadmin,regional_duadmin,country_duadmin,global_duanalytics,regional_duanalytics,country_duanalytics,account_instafollowers,account_insta,account_linkedinfollowers,account_twitterfollowers,web_traffic,technographic,companytag
uaid01123968142,Skyslope Inc,www.skyslope.com,825 K St Fl 2,Sacramento,Pennsylvania,95814,United States,North America,US,NA,IT Services,IT Consulting & Other Services,451020,Medium,NULL,#ERROR!,$10M-$50M,100-499,"SkySlope is an industry leader in real estate transaction management, combining best-in-class technology with award winning customer service.",11425095,604525241,7373,541512,uaid01127015393,www.facebook.com/SkySlope,9800,NULL,B2B,NULL,NULL,NULL,NULL,upid001123929084,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,www.instagram.com/skyslope/?hl=en,NULL,NULL,NULL,"{""technographic"": [""Adobe (Unspecified Product)"", ""Adobe Creative Cloud"", ""Adobe Illustrator"", ""Adobe Photoshop CC"", ""Adobe Typekit"", ""Amazon Athena"", ""Amazon AWS"", ""Amazon AWS Elastic Beanstalk"", ""Amazon CloudFront"", ""Amazon Cloudwatch"", ""Amazon DynamoDB"", ""Amazon EC2"", ""Amazon ElastiCache"", ""Amazon Relational Database Service (RDS)"", ""Amazon Route 53"", ""Amazon S3"", ""Amazon Web Hosting"", ""AWS CloudFormation"", ""AWS Lambda"", ""AngularJS"", ""Asana"", ""Atlassian (Unspecified Product)"", ""Atlassian Bitbucket"", ""Atlassian JIRA"", ""Axure RP"", ""Balsamiq"", ""Basecamp"", ""Datadog"", ""Docker"", ""Eclipse IDE"", ""Facebook Widget"", ""Facebook-CDN"", ""Facebook-for-Websites"", ""Facebook-Like"", ""ReactJS"", ""FreshBooks"", ""JavaScript"", ""Git"", ""GoDaddy Hosting"", ""Google"", ""Google Ad Manager"", ""Google Ads"", ""Google Analytics"", ""Google Docs"", ""Google Drive"", ""Google Font API"", ""Google G Suite"", ""Google Tag Manager"", ""Grafana"", ""Gravatar"", ""HubSpot"", ""HubSpot Marketing Hub"", ""IBM Cognos Analytics"", ""QuickBooks"", ""QuickBooks Online"", ""QuickBooks Payroll"", ""InVision"", ""Jenkins"", ""Mailchimp"", ""ASP.NET"", ""Azure Application Insights"", ""C#"", ""Microsoft IIS"", ""Microsoft Office"", ""Microsoft SQL Server"", ""Windows Live Writer"", ""New Relic"", ""Lightbox"", ""Linux"", ""Node.js"", ""Prometheus"", ""Java"", ""MySQL"", ""PostgreSQL"", ""Salesforce CRM"", ""Salesforce WebToLead"", ""Salesforce.com (Unspecified Product)"", ""Salesforce.com Force.com"", ""Selenium"", ""Slack"", ""SnapEngage"", ""Apache (Unspecified Product)"", ""Apache HTTP Server"", ""jQuery"", ""PHP"", ""Nivo Slider"", ""ToutApp"", ""Twitter Cards"", ""Vimeo"", ""Wistia"", ""WordPress"", ""HTML"", ""Yoast"", ""Youtube"", ""Zendesk""]}","{""company_type"": [""demo"", ""job_page"", ""offer""]}"
uaid01127089414,Radio Computing Services Inc,www.rcsworks.com,445 Hamilton Avenue Fl 7,White Plains,New York,10601,United States,North America,US,NA,IT Services,IT Consulting & Other Services,451020,Medium Large,www.linkedin.com/company/rcsworks?trk=top_nav_home,#ERROR!,$100M-$250M,500-999,NULL,39400239,69456655,7373,541512,uaid01123833725,www.facebook.com/RCSSoundSoftware,4100,https://twitter.com/RCS_Works,B2B,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,674,www.instagram.com/rcsworks,NULL,807,NULL,"{""technographic"": [""Amazon Web Hosting"", ""Digital Ocean Hosting"", ""Facebook Widget"", ""Facebook-for-Websites"", ""JavaScript"", ""FeedBurner"", ""Google"", ""Google Analytics"", ""Google Font API"", ""Google Tag Manager"", ""reCAPTCHA"", ""Gravity Forms"", ""Piwik"", ""ASP.NET"", ""C#"", ""Microsoft IIS"", ""Microsoft Office"", ""Microsoft SQL Server"", ""Windows Live Writer"", ""OpenSSL"", ""Perl"", ""Apache (Unspecified Product)"", ""Apache HTTP Server"", ""jQuery"", ""Unix"", ""PHP"", ""Twitter Cards"", ""Vimeo"", ""WordPress"", ""HTML""]}",null
uaid01124424366,Onehealth Solutions Inc,www.onehealth.com,2211 Century Center Boulevard Suite 110,Irving,Illinois,75062,United States,North America,US,NA,IT Services,IT Consulting & Other Services,451020,Medium,NULL,#ERROR!,$10M-$50M,100-499,"OneHealth’s Certified Coaches have provided thousands of hours of direct service for people coping with a variety of different personal, social, and emotional conditions, helping them to actively and powerfully reconnect with life! \nindex, follow, max-snippet:-1, max-video-preview:-1, max-image-prev",31733922,165463329,7373,541512,uaid01127133235,www.facebook.com/profile.php?id=100084041021068,NULL,https://twitter.com/OneHealthLS,B2B,NULL,NULL,NULL,NULL,upid001123835776,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,www.instagram.com/onehealthlifestyle,NULL,NULL,53118,"{""technographic"": [""GoDaddy Hosting"", ""Google Analytics"", ""Google Tag Manager"", ""Parallels"", ""Parallels Plesk"", ""Apache (Unspecified Product)"", ""Apache HTTP Server"", ""Yoast""]}",null
uaid01123933154,Docpoint Solutions Llc,www.docpointsolutions.com,11850 W Market Place Suite P,Fulton,New York,20759,United States,North America,US,NA,IT Services,IT Consulting & Other Services,451020,Small,www.linkedin.com/company/docpoint-solutions,#ERROR!,$1M-$10M,10-99,NULL,828751334,1707322,7373,541512,uaid01127049672,www.facebook.com/pages/Docpoint-Solutions/316675008436947,NULL,https://twitter.com/@DocPoint_USA,B2B,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,226,NULL,NULL,"{""technographic"": [""AddThis"", ""Adobe (Unspecified Product)"", ""Adobe Typekit"", ""CloudFlare CDN"", ""Eventbrite"", ""Google"", ""Google Analytics"", ""HTML"", ""Java"", ""JavaScript"", ""jQuery"", ""Microsoft Exchange Server"", ""Microsoft SharePoint"", ""Microsoft SQL Server"", ""Microsoft Windows 7"", ""Modernizr"", ""nginx"", ""Parallels"", ""Parallels Plesk"", ""PHP"", ""Unix"", ""WordPress""]}","{""company_type"": [""certificate"", ""event"", ""partner"", ""webinar""]}"
uaid01123766406,Onpoint Consulting Inc,www.onpointcorp.com,4250 Fairfax Drive Suite 600,Arlington,Virginia,22203,United States,North America,US,NA,IT Services,IT Consulting & Other Services,451020,Small,www.linkedin.com/company/onpoint,#ERROR!,$1M-$10M,10-99,NULL,802314120,611823738,7373,541512,uaid01123898773,www.facebook.com/onpointcorp,NULL,https://twitter.com/OnPointCorp,B2B,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1746,111,NULL,"{""technographic"": [""Amazon"", ""Amazon AWS"", ""Amazon EC2"", ""Amazon S3"", ""Amazon Web Hosting"", ""Apache (Unspecified Product)"", ""Apache HTTP Server"", ""Google"", ""Google Analytics"", ""Google Marketing Platform"", ""HTML"", ""jQuery"", ""Microsoft Exchange Server"", ""PHP"", ""reCAPTCHA"", ""ShareThis"", ""Taleo (Unspecified Product)"", ""Windows Live Writer"", ""WordPress""]}","{""company_type"": [""job_page"", ""partner""]}"
uaid01127062153,Media Monitors Llc,www.mediamonitors.com,445 Hamilton Avenue Fl 7,White Plains,New York,10601,United States,North America,US,NA,IT Services,IT Consulting & Other Services,451020,Medium,www.linkedin.com/showcase/media-monitors-the-leader-in-local-media-monitoring,#ERROR!,$10M-$50M,100-499,"From Broadcast TV to Local Cable to Radio to Digital and Newspapers, we deliver competitive intelligence in a fast and easy-to-use web platform.",176629827,39400239,7373,541512,uaid01123833725,www.facebook.com/Media-Monitors-233321740496,NULL,https://twitter.com/MMonitors,B2B,NULL,NULL,NULL,NULL,upid001123940096,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,www.instagram.com/mediamonitors_,119,NULL,NULL,"{""technographic"": [""Google"", ""Google Font API"", ""jQuery"", ""PHP"", ""WordPress"", ""Yoast"", ""Yoast SEO""]}","{""company_type"": [""certificate"", ""job_opening_analytics"", ""job_opening_it"", ""job_opening_sales"", ""job_page""]}"
uaid01123939109,Genuine Interactive Llc,www.wearegenuine.com,500 Harrison Avenue Suite 5R,Roxbury,New York,2118,United States,North America,US,NA,IT Services,Data Processing & Outsourced Services,451020,Medium,www.linkedin.com/company/genuine-interactive,#ERROR!,$10M-$50M,100-499,property=og:description,604430806,6985790,7374,518210,uaid01123752683,www.facebook.com/genuineHQ,1100,https://twitter.com/WeAreGenuine,B2B,NULL,NULL,NULL,NULL,upid001123474541,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,678,www.instagram.com/wearegenuine,4778,2815,NULL,"{""technographic"": [""Google"", ""Google Tag Manager""]}","{""company_type"": [""job_page""]}"
uaid01123850439,Ergotron Inc,www.ergotron.com,1181 Trapp Road,Eagan,Tennessee,55121,United States,North America,US,NA,IT Services,IT Consulting & Other Services,451020,Enterprise,www.linkedin.com/company/ergotron,#ERROR!,$250M-$500M,1000+,Ergotron uses human-centered design to build kinetic workspaces. Our products promote wellness and productivity by moving technology to where you need it most. id=MetaDescription,62644448,615332900,7373,541512,uaid01127062767,www.facebook.com/ErgotronInc,NULL,https://twitter.com/Ergotron,B2B,upid001123850439,upid001123850440,upid001123850442,upid001123850443,upid001123850444,upid001123850445,upid001123850446,upid001123850446,upid001123850448,upid001123850449,upid001123850450,upid001123850451,upid001123850452,upid001123850453,upid001123850454,upid001123850455,upid001123850456,upid001123850457,upid001123850458,upid001123850459,NULL,NULL,10214,6825,332004,"{""technographic"": [""AddThis"", ""Adobe (Unspecified Product)"", ""Adobe Creative Cloud"", ""Adobe Typekit"", ""Ajax"", ""Altium (Unspecified Product)"", ""Amazon"", ""Amazon Web Hosting"", ""AngularJS"", ""AppNexus"", ""Ariba (Unspecified Product)"", ""ASP.NET"", ""Azure DNS"", ""CA Agile Central"", ""CloudFlare CDN"", ""Commvault (Unspecified Product)"", ""Dassault SOLIDWORKS"", ""Dassault Systemes (Unspecified Product)"", ""DigiCert"", ""Facebook Web Custom Audiences"", ""Facebook-for-Websites"", ""Font Awesome"", ""Format"", ""Google"", ""Google Ad Manager"", ""Google Ads"", ""Google AdWords Conversion"", ""Google Analytics"", ""Google API"", ""Google Marketing Platform"", ""Google Remarketing"", ""Google Tag Manager"", ""HTML"", ""IIS"", ""Informatica"", ""Java"", ""JavaScript"", ""JDA"", ""jQuery"", ""LabVIEW"", ""Lightbox"", ""LinkedIn Marketing Solutions"", ""MailChimp"", ""MailChimp Mandrill"", ""Microsoft Azure"", ""Microsoft Bing"", ""Microsoft Exchange Server"", ""Microsoft IIS"", ""Microsoft Office"", ""Microsoft PowerPoint"", ""Microsoft Project"", ""Modernizr"", ""National Instruments"", ""nginx"", ""Oracle Database"", ""Oracle E-Business"", ""Oracle ERP"", ""Oracle Forms"", ""Oracle Fusion"", ""Oracle Fusion Middleware"", ""OWL Carousel"", ""Pardot"", ""PL/SQL"", ""Progress Software"", ""Quest Software (Unspecified Product)"", ""Salesforce"", ""Salesforce CRM"", ""Telerik"", ""Thomson Reuters (Unspecified Product)"", ""Twitter"", ""Twitter Bootstrap"", ""VMware (Unspecified Product)"", ""Windows Server"", ""YouTube""]}","{""company_type"": [""ecommerce"", ""event"", ""free_trial"", ""job_opening_it"", ""job_page"", ""partner"", ""pricing""]}"
uaid01124216530,Dlt Solutions Llc,www.dlt.com,2411 Dulles Corner Park Suite 800,Herndon,Virginia,20171,United States,North America,US,NA,IT Services,IT Consulting & Other Services,451020,Medium,www.linkedin.com/company/dlt-solutions?trk=hb_tab_compy_id_12772,#ERROR!,$10M-$50M,100-499,NULL,786468199,81940553,7373,541512,uaid01127123918,www.facebook.com/DLTSolutions,2200,https://twitter.com/DLTSolutions,B2B,NULL,NULL,NULL,NULL,upid001123935301,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7177,1100,"{""technographic"": [""AdRoll"", ""Ajax"", ""Amazon"", ""Amazon AWS"", ""Amazon EC2"", ""Amazon Web Hosting"", ""Apache (Unspecified Product)"", ""Apache HTTP Server"", ""Drupal"", ""Facebook Web Custom Audiences"", ""Facebook-for-Websites"", ""Google"", ""Google Analytics"", ""Google Font API"", ""Google Tag Manager"", ""HTML"", ""iCIMS"", ""jQuery"", ""Marketo"", ""Microsoft Exchange Server"", ""Modernizr"", ""PHP"", ""Prototype"", ""Rackspace"", ""Rackspace Hosting"", ""reCAPTCHA"", ""RequireJS"", ""Vimeo"", ""Windows Live Writer"", ""WordPress"", ""Yoast"", ""YouTube"", ""Zendesk""]}","{""company_type"": [""event"", ""job_page"", ""partner""]}"
uaid01123924441,Boeing Intelligence & Analytics Inc,www.bia-boeing.com,131 National Business Pkwy Suite 120,Annapolis Junction,Maryland,20701,United States,North America,US,NA,IT Services,IT Consulting & Other Services,451020,Medium,www.linkedin.com/company/boeing,#ERROR!,$50M-$100M,100-499,"Boeing Intelligence &amp; Analytics optimizes solutions through innovation and \r\npartnership that deliver safety, security, and defense to the U.S.",124725966,9256819,7373,541512,uaid01123765352,www.facebook.com/Boeing,NULL,NULL,B2B,NULL,NULL,NULL,NULL,upid001123855699,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,www.instagram.com/boeing,3019860,NULL,NULL,"{""technographic"": [""Adobe (Unspecified Product)"", ""Adobe Creative Cloud"", ""Adobe Illustrator"", ""Adobe Photoshop CC"", ""Amazon"", ""Amazon AWS"", ""Amazon AWS Identity and Access Management (IAM)"", ""Amazon EC2"", ""Amazon Relational Database Service (RDS)"", ""Amazon Route 53"", ""Amazon S3"", ""Android OS"", ""Android SDK"", ""AngularJS"", ""Ansible"", ""ANSYS"", ""Apache (Unspecified Product)"", ""Apache ActiveMQ"", ""Apache Cassandra"", ""Apache Hadoop"", ""Apache Hbase"", ""Apache Hive"", ""Apache HTTP Server"", ""Apache Kafka"", ""Apache Lucene"", ""Apache Mesos"", ""Apache Oozie"", ""Apache Pig"", ""Apache Solr"", ""Apache Spark"", ""Apache Storm"", ""Apache Tomcat"", ""ArcGIS Platform"", ""Atlassian (Unspecified Product)"", ""Atlassian Bitbucket"", ""Atlassian Confluence"", ""Atlassian JIRA"", ""Autodesk (Unspecified Product)"", ""Autodesk Maya"", ""Avaya (Unspecified Product)"", ""AWS CloudFormation"", ""Brocade"", ""C#"", ""Canonical Ubuntu"", ""CentOS"", ""Chef"", ""Cisco Adaptive Security Appliances"", ""Cisco Catalyst Switches"", ""Cisco Firewalls"", ""Cisco Switches"", ""Debian"", ""Docker"", ""DynDNS"", ""Eclipse IDE"", ""Elasticsearch"", ""ESRI (Unspecified Product)"", ""ETAP"", ""Format"", ""Git"", ""GitHub"", ""GitLab"", ""Google"", ""Google Analytics"", ""HPE Servers"", ""HTML"", ""Hudson"", ""IntelliJ"", ""J2EE"", ""Java"", ""JavaScript"", ""Jenkins"", ""JetBrains"", ""jQuery"", ""Kibana"", ""Kubernetes"", ""KVM"", ""Linux"", ""MATLAB"", ""McAfee (Unspecified Product)"", ""Mesosphere"", ""Microsoft Exchange Server"", ""Microsoft Office"", ""Microsoft Office 365"", ""Microsoft PowerPoint"", ""Microsoft Project"", ""Microsoft SharePoint"", ""Microsoft Skype for Business"", ""Microsoft SQL Server"", ""Microsoft SQL Server 212"", ""Microsoft System Center"", ""Microsoft System Center Configuration Manager"", ""Microsoft Windows 7"", ""Microsoft Yammer"", ""MongoDB"", ""MySQL"", ""Nagios"", ""NetApp (Unspecified Product)"", ""NetApp Storage Systems"", ""nginx"", ""Node.js"", ""OpenSSL"", ""OpenStack"", ""Oracle Database"", ""PeopleSoft"", ""Perl"", ""PHP"", ""PL/SQL"", ""PostgreSQL"", ""Puppet Enterprise"", ""Python"", ""Rapid7"", ""ReactJS"", ""Red Hat (Unspecified Product)"", ""Redis"", ""Riverbed Technology (Unspecified Product)"", ""Ruby on Rails"", ""SAP BusinessObjects BI"", ""Selenium"", ""Simulink"", ""Skype"", ""Solaris"", ""Splunk"", ""Symantec (Unspecified Product)"", ""Taleo (Unspecified Product)"", ""Twitter"", ""Twitter Cards"", ""Unix"", ""Verilog"", ""Veritas"", ""Veritas NetBackup"", ""VHSIC Hardware Description Language (VHDL)"", ""VMware (Unspecified Product)"", ""VMware ESXi"", ""VMware vCenter"", ""VMware vSphere"", ""WildFly"", ""Windows Live Writer"", ""Windows Server"", ""Windows Server 212"", ""Wireshark"", ""WordPress"", ""XPath"", ""Yoast"", ""Zabbix""]}","{""company_type"": [""job_page""]}"
